uniqu.name.id,group.nd.name,variants_count,variants_joined,collab_n,collab_start_week,collab_end_week
61,NCT 런쥔,4,NCT 런쥔 | 런쥔 NCT | 런쥔 엔시티 | 엔시티 런쥔,1,2024-W17,2024-W21
61,NCT 런쥔,4,NCT 런쥔 | 런쥔 NCT | 런쥔 엔시티 | 엔시티 런쥔,2,2024-W45,2025-W08
61,NCT 런쥔,4,NCT 런쥔 | 런쥔 NCT | 런쥔 엔시티 | 엔시티 런쥔,3,2025-W30,2025-W39
62,NCT 료,4,NCT 료 | 료 NCT | 료 엔시티 | 엔시티 료,1,2024-W13,2024-W21
62,NCT 료,4,NCT 료 | 료 NCT | 료 엔시티 | 엔시티 료,2,2025-W35,2025-W43
63,NCT 리쿠,4,NCT 리쿠 | 리쿠 NCT | 리쿠 엔시티 | 엔시티 리쿠,1,2024-W13,2024-W21
63,NCT 리쿠,4,NCT 리쿠 | 리쿠 NCT | 리쿠 엔시티 | 엔시티 리쿠,2,2025-W35,2025-W43
64,NCT 마크,4,NCT 마크 | 마크 NCT | 마크 엔시티 | 엔시티 마크,1,2024-W04,2024-W13
64,NCT 마크,4,NCT 마크 | 마크 NCT | 마크 엔시티 | 엔시티 마크,2,2024-W17,2024-W21
64,NCT 마크,4,NCT 마크 | 마크 NCT | 마크 엔시티 | 엔시티 마크,3,2024-W30,2024-W39
64,NCT 마크,4,NCT 마크 | 마크 NCT | 마크 엔시티 | 엔시티 마크,4,2024-W45,2025-W08
64,NCT 마크,4,NCT 마크 | 마크 NCT | 마크 엔시티 | 엔시티 마크,5,2025-W11,2025-W11
64,NCT 마크,4,NCT 마크 | 마크 NCT | 마크 엔시티 | 엔시티 마크,6,2025-W30,2025-W39
65,NCT 사쿠야,4,NCT 사쿠야 | 사쿠야 NCT | 사쿠야 엔시티 | 엔시티 사쿠야,1,2024-W13,2024-W21
65,NCT 사쿠야,4,NCT 사쿠야 | 사쿠야 NCT | 사쿠야 엔시티 | 엔시티 사쿠야,2,2025-W35,2025-W43
66,NCT 샤오쥔,4,NCT 샤오쥔 | 샤오쥔 NCT | 샤오쥔 엔시티 | 엔시티 샤오쥔,1,2024-W31,2024-W39
